Tina Leblanc
Rosario Verdone 
Elena Novaro
Piergiorgio Sauro-Rismondo
Franco Cremonesi 
Sig.ra Rosaria Inzaghi 
Dott. Carolina Bartoli
Silvio Piccinni
Adriana Manunta
Federica Vismara
Giuliana Basadonna
Eliana Callegari
Ramona Barese 
Dott. Isa Bresciani
Erika Carli
Sig.ra Filippa Tozzi
Sig. Osvaldo Mogherini 
Antonia Pisaroni
Ferdinando Gori-Salandra
Dott. Monica Rossellini 
Coluccio Fieramosca
Ornella Toldo-Interminei
Roberta Bernardi
Lara Zabarella
Sig.ra Nicoletta Bianchi
Carolina Ferrata
Dante Correr
Arsenio Musatti
Federigo Casini
Eva Pepe-Palmisano
Dott. Gioffre Gottardi
Antonio Boezio
Sig. Orlando Brenna
Concetta Amaldi-Visintini
Roman Cutrufo-Corbo
Fabia Morricone
Tatiana Dellucci
Gabriella Gentili
Mirco Pisacane
Aldo Contrafatto
Adele Orlando 
Danilo Interminei 
Mattia Pavanello
Ramona Inzaghi
Sig. Enrico Casalodi 
Annetta Novaro
Sig. Lorenzo Giacconi 
Carla Parpinel
Clelia Nonis
Sig. Vittorio Alboni
Concetta Russo
Sig.ra Maria Perini
Girolamo Gussoni
Antonina Trupiano-Cesarotti
Sebastiano Borsellino
Sig.ra Etta Ferrante 
Dott. Adelmo Capuana
Vanessa Pagliaro
Durante Gritti
Chiara Cicilia-Guinizzelli
Sig. Elmo Ottino 
Raffaellino Turchetta
Ivan Lamborghini
Sig.ra Simonetta Verri
Sig.ra Tonia Gagliano
Dott. Eva Vigliotti
Marcella Vasari 
Dott. Imelda Tafuri
Romana Petrucelli-Alighieri
Elisa Dulbecco
Giampiero Monicelli
Gianmarco Catalano
Sig.ra Victoria Leonardi
Lazzaro Benedetti
Tonino Cilea
Ottavio Giolitti-Polani
Raffaellino Bellini
Ruggiero Callegaro-Maderna
Serafina Boccioni-Interminei
Oreste Ioppi 
Marta Pausini 
Romolo Persico
Pompeo Olivetti
Sig. Domenico Boaga
Dott. Telemaco Faggiani 
Maria Bondumier
Dott. Lamberto Ferretti 
Dott. Pomponio Lucarelli 
Francesca Trentin
Bianca Marrone
Dott. Donato Vespa
Gianna Dallapé-Grimani
Nedda Muti 
Melania Monicelli-Cibin
Sig.ra Nedda Fischetti 
Lodovico Camuccini
Dott. Etta Pacelli
Lazzaro Donarelli
Gabriele Telesio 
Vittoria Lamborghini-Grasso
Sergius Pugliese
Sig. Donato Zamengo 
Lucia Dallara
Bianca Papetti
Dott. Valentina Cafarchia
Dolores Schicchi
Zaira Priuli
Gioacchino Federico
Goffredo Gentileschi 
Dott. Raffaello Scaramucci 
Dott. Ottone Venditti
Paolo Tasso
Lolita Grimani
Berenice Veneziano 
Sig.ra Gemma Rapisardi 
Romana Piovani
Arturo Villarosa
Dott. Allegra Leopardi 
Valerio Grifeo 
Dott. Annalisa Villadicani
Giampaolo Orsini
Sonia Luzi
Sig. Fedele Luria 
Beatrice Cuomo
Paride Trevisani
Vincenza Marini
Ricciotti Bersani
Maurizio Bajamonti
Viridiana Magnani 
Franco Papetti
Ornella Trapanese
Sole Michelangeli
Dott. Gianfrancesco Alboni 
Ludovica Piccio
Enrico Necci-Boito
Piermaria Sauro
Dott. Ruggiero Varano
Dott. Guido Padovano 
Mario Pederiva 
Dott. Chiara Pratesi
Sig.ra Annalisa Bernardini 
Dott. Telemaco Filzi
Federico Zecchini
Dott. Ugolino Pellegrini
Pierina Accardo-Borromeo
Ermes Rapisardi
Caterina Mazzanti
Lina Baresi
Rodolfo Filippini 
Etta Gianetti-Ottino
Franco Nadi
Salvi Travaglia
Sig.ra Simonetta Tamborini 
Gian Zarlino 
Melissa Iacovelli-Geraci
Adriano Marini
Sig.ra Monica Murri 
Giampiero Zoppetti
Dott. Marcantonio Barracco 
Lisa Marinetti
Emma Brunello 
Vincenza Pontecorvo-Gualandi
Tatiana Bataglia
Gianni Fagotto 
Durante Berlusconi
Stella Cadorna
Lidia Ortese-Bacosi
Romeo Pontecorvo
Gaetano Zaguri
Allegra Treves
Dina Dulbecco
Paloma Pignatti
Mirko Bernetti
Alessia Pulci
Luciano Martucci
Ornella Bragaglia
Gianfrancesco Cheda
Maurilio Pirandello
Adelasia Cheda
Fiorino Coppola
Luigina Ciampi
Dott. Enzo Persico
Sig. Daniele Broggini 
Dott. Loredana Trentini
Dott. Rosina Agazzi 
Antonino Coardi-Nolcini
Sig.ra Rossana Marenzio 
Leopoldo Mezzetta
Gelsomina Botta
Adelmo Borrani
Eva Mazzanti
Dott. Marco Gibilisco
Leone Santi 
Bettina Bongiorno
Lamberto Missoni
Susanna Cristoforetti
Fortunata Rizzo-Emo
Giuseppe Germano-Matteotti
Dott. Melina Vanvitelli
Ermanno Piazzi
Gemma Legnante-Borsellino
Arsenio Pizzamano-Tosi
Rembrandt Torlonia-Polesel
Paulina Camicione
Sole Camanni-Bova
Carmelo Cagnotto
Raimondo Malpighi
Costanzo Necci 
Santino Giacometti-Magrassi
Stefania Trupiano
Rodolfo Solari-Capecchi
Daria Tozzi 
Graziella Soprano
Fedele Sobrero-Campano
Sig. Ivo Cuomo
Dott. Marco Greco
Camilla Muti
Dott. Donna Grisoni 
Lazzaro Abbagnale
Diana Comboni
Flavia Santoro
Maria Boccioni 
Emma Altera-Mastroianni
Aria Venditti
Azeglio Lombardo 
Pompeo Blasi
Piersanti Simeoni
Letizia Ruberto
Piergiorgio Carducci
Pier Missoni-Infantino
Sig.ra Romina Letta
Romolo Orsini
Enzo Impastato 
Dott. Dante Volta
Anita Armani
Sig. Paolo Monicelli
Melania Toscani
Ciro Biagiotti-Gasperi
Fabrizia Zetticci
Edoardo Migliaccio
Sig.ra Rossana Turrini 
Dott. Ugolino Bellucci
Barbara Pederiva
Franco Vitturi-Iannotti
Venancio Benigni
Gemma Cuzzocrea 
Dott. Franco Pellegrini
Dott. Eleanora Maspero 
Galasso Guidotti
Francesca Brenna 
Piermaria Guariento
Giuliano Platini
Dott. Pierpaolo Callegari
Dott. Michele Iannucci
Donatella Schiaparelli
Sig. Pierangelo Disdero
Giulia Broggini
Etta Bottaro
Eliana Priuli
Simonetta Perozzo 
Sig.ra Paulina Lucciano 
Gianluigi Baracca
Giovanni Dallapé
Dott. Armando Romano
Antonella Onio
Giulietta Falcone
Lorenzo Lombardi
Marco Gozzi
Gemma Vento
Sig.ra Paulina Murialdo
Dott. Elena Galiazzo 
Girolamo Molesini
Dott. Paolo Cesaroni
Flavio Dibiasi
Ivan Malipiero
Pellegrino Sobrero
Elladio Manacorda 
Eva Conti
Sig.ra Gianna Paolucci 
Pasqual Santi 
Dolores Sansoni
Sig.ra Veronica Tiepolo 
Sig.ra Lina Bianchi
Rembrandt Valguarnera 
Rosina Spinelli-Paolini
Graziano Soffici
Sig. Salvatore Maggioli
Rosina Anastasi 
Girolamo Roccabonella
Pina Totino 
Loredana Pugliese
Elena Guinizzelli-Vidoni
Dott. Riccardo Papetti
Imelda Udinesi-Malaparte
Sig. Gianluigi Migliaccio
Nadia Fantini
Dott. Silvia Toldo 
Achille Bondumier
Sig.ra Fernanda Salvo
Bianca Barese 
Giada Nolcini
Sig. Delfino Fusani
Erika Curiel
Angelina Farnese
Rocco Einaudi-Galuppi
Loretta Grisoni
Toni Zaguri
Umberto Palombi 
Antonino Metella
Amanda Basadonna
Dino Moneta
Rembrandt Ostinelli
Flavio Gaito
Dott. Giulia Cocci 
Imelda Rubbia
Danilo Scaduto 
Gelsomina Montalti-Foa
Sebastiano Fo-Torlonia
Puccio Grisoni
Dott. Veronica Farina 
Adele Moschino
Enrico Montanariello-Cadorna
Antonella Pagliaro-Versace
Evangelista Monti
Dott. Sante Padovano 
Concetta Scarlatti 
Lucia Carfagna
Luchino Fo
Sig.ra Marcella Sagese 
Michele Fagotto-Pagliaro
Sig. Piermaria Castiglione 
Gianfranco Gianinazzi
Dott. Gioachino Persico
Achille Pirandello
Dott. Susanna Spadafora
Gino Monicelli
Adelmo Papetti
Dott. Giulia Carducci
Ermanno Bramante
Dott. Fredo Anguillara 
Renata Guarneri
Corrado Savorgnan
Dott. Romina Cilibrasi
Morena Folliero
Nico Zeffirelli 
Nedda Biagi-Benedetti
Pier Spinola
Nicoletta Peruzzi
Ruggero Fibonacci
Annibale Moschino 
Cassandra Micheletti
Dott. Rosaria Gabbana 
Marcantonio Parisi 
Angelo Palombi 
Dott. Paolo Bonaventura 
Vanessa Impastato-Pagnotto
Ermenegildo Antonetti 
Paulina Peranda
Dott. Marisa Pagliaro
Michela Basadonna
Daria Mascheroni 
Lauretta Chindamo-Marangoni
Dott. Claudio Pulci
Dott. Sonia Germano 
Margherita Boaga 
Isabella Ovadia 
Dott. Azeglio Nicolini 
Giorgia Saragat-Lanfranchi
Victoria Fischetti
Sig. Filippo Raurica
Lamberto Conti 
Fedele Ammaniti
Irma Beccheria
Sig.ra Giulietta Zaccagnini 
Ettore Fantini
Giuliano Borroni
Giovanna Varano 
Alfio Angeli
Monica Grisoni
Sig. Valerio Magrassi
Sig.ra Roberta Antonucci
Sig. Patrizio Luna
Dott. Gino Ferrabosco
Sig.ra Paola Littizzetto
Sig. Sandro Bernardini 
Amedeo Mengolo 
Girolamo Desio 
Romeo Bettoni-Angiolello
Adelmo Moschino
Hugo Balbi-Curci
Dott. Federigo Bertoli
Aldo Granatelli
Alberico Draghi 
Puccio Casini
Dott. Rosaria Scarponi 
Sig.ra Serena Leopardi
Pasquale Botta-Pagliaro
Lidia Correr
Dott. Ezio Cammarata
Luisa Ferragamo
Lina Florio
Viridiana Rosiello 
Sig. Giacinto Polizzi
Eliana Vergassola
Pasqual Quasimodo
Silvia Barcaccia 
Chiara Sauro-Bombieri
Maura Cabrini-Priuli
Sig.ra Mariana Abba 
Dott. Gioele Simeoni 
Loredana Seddio 
Nico Lucarelli
Santino Trebbi
Ugo Serao-Giacconi
Lina Mazzi 
Bianca Esposito-Galeati
Alphons Mercati
Sig. Ernesto Camilleri 
Dott. Augusto Marenzio 
Cesare Badoglio
Arnaldo Montanari
Serafina Scarpetta
Luigina Pisaroni
Etta Spinola
Sig. Santino Gibilisco
Gioachino Fiorucci
Simone Malipiero-Garzoni
Sig. Ermenegildo Panzera 
Dott. Torquato Pertini 
Maurizio Schicchi
Annibale Zacco 
Matilda Pirelli 
Valeria Bonolis
Bernardo Ferrari 
Cesare Bruscantini 
Eva Blasi
Sig.ra Livia Legnante
Sig.ra Ninetta Fantoni 
Fiamma Santoro
Natalia Pavanello-Gatto
Lidia Giannotti 
Graziella Vendetti
Luchino Magnani
Dott. Geronimo Lancisi 
Giacobbe Trapanese
Sig.ra Fabrizia Ginese 
Gustavo Gullotta
Coriolano Rusticucci
Rocco Sgarbi
Morena Oscuro
Amedeo Fantozzi-Manunta
Sergius Mantegazza 
Ferdinando Mantegna
Tatiana Morosini
Rosina Ricciardi
Sig.ra Emma Cugia 
Armando Benussi
Bianca Inzaghi
Gioachino Lerner
Lina Carullo
Rosa Sandi
Elvira Querini
Melina Valier
Calcedonio Marrone
Fiorenzo Asmundo
Beatrice Cilibrasi
Dott. Ivan Mezzetta 
Fredo Lombroso
Sig. Saverio Rensi
Nicola Cabibbo 
Susanna Bellucci
Giuliano Bocca
Carlo Pratesi
Rocco Tamburi
Tatiana Bocca
Sig. Gastone Panzera 
Lorenzo Gregori
Dante Chechi
Marcella Cuomo
Dott. Fabia Tron 
Ruggero Salvo
Ezio Morellato 
Fredo Loredan
Morena Battaglia
Sig. Arnulfo Pizzetti 
Elvira Bonaventura
Marta Giovine
Alessandra Dossi-Bongiorno
Matteo Calvo
Ornella Fabrizi
Virginia Bernini
Gabriele Casalodi
Morena Scamarcio
Isa Balotelli
Francesca Cibin
Amedeo Rienzo 
Luigina Belletini
Michela Soranzo
Leopoldo Montanari
Dott. Rita Porcellato 
Sig. Gaetano Gentilini
Dott. Giacobbe Germano 
Dott. Fausto Napolitano
Marcantonio Antonini 
Donato Parmitano
Filippo Bevilacqua-Serlupi
Vittorio Caironi
Sig.ra Melissa Tolentino
Achille Tomasini-Villarosa
Sabatino Tornatore
Ramona Einaudi
Sig.ra Giulia Fantini
Telemaco Vasari
Viridiana Borromini
Marco Morucci
Lolita Antonucci
Ornella Pinamonte
Dott. Giovanni Andreozzi 
Alessia Ritacca 
Danilo Mannoia
Dott. Giulietta Aldobrandi
Graziano Detti
Pina Anichini
Guido Traversa
Greco Gianinazzi
Giada Calarco 
Benedetto Travaglio-Donarelli
Antonino Roncalli-Pellico
Eliana Antonelli
Valeria Toscani
Tonino Federici
Giorgia Petruzzi
Fausto Berengario 
Giulietta Biagi
Silvestro Piacentini
Amleto Sermonti
Coriolano Boezio-Rinaldi
Stefani Farina
Imelda Veltroni
Dott. Napoleone Trentini
Valeria Falcone 
Giuliano Stefanelli
Vittorio Moretti
Gilberto Michelangeli-Marenzio
Rocco Gelli-Calgari
Dott. Sole Mercati
Clelia Littizzetto
Sig.ra Adriana Vespa
Dott. Francesca Stoppani 
Dott. Pasqual Borghese
Ida Bignami
Dott. Serena Fantini
Paride Boitani 
Giulio Trebbi
Dott. Graziella Leblanc
Gilberto Tiepolo
Dott. Gianna Vasari
Sig.ra Jolanda Mazzanti
Maurizio Cimini
Dott. Romana Mantegna 
Sig. Giancarlo Scarpetta
Tonino Cilea
Maria Altera
Patrizia Verdone
Milena Pagliaro
Luigi Cundari
Annibale Tropea
Ippazio Gentilini-Grifeo
Sylvia Mazzocchi
Puccio Verga 
Sig.ra Giada Rienzo 
Adriano Traversa
Sig. Franco Zampa 
Eva Fracci-Pacomio
Massimo Juvara-Soffici
Corrado Nadi
Amleto Ferragamo-Aulenti
Benito Toscani
Pina Morrocco 
Angelica Lamborghini
Guido Procacci 
Claudio Rensi
Ludovica Gibilisco
Fulvio Treccani-Pederiva
Sig.ra Ida Morabito
Giada Capecchi
Annunziata Iannotti-Battaglia
Elena Stefanelli-Pastine
Gianluigi Alboni 
Tonino Cerquiglini
Ugolino Vasari-Procacci
Angelica Luxardo
Arsenio Gadda-Casarin
Leone Casale
Lauretta Pagliaro
Ninetta Pietrangeli-Petrucci
Paride Mercantini-Galuppi
Sante Papafava-Venier
Sig.ra Ida Omma
Berenice Botticelli
Patrizio Cammarata
Sig. Rocco Condoleo
Tonia Gentileschi
Marissa Monduzzi-Tozzi
Napoleone Petralli
Massimiliano Tafuri
Micheletto Speri-Petralli
Dott. Aurora Bresciani
Lando Schiavo
Nico Jilani
Alfredo Turati
Angelica Turci 
Cirillo Argan-Natta
Stefania Mozart-Maccanelli
Nicola Mussolini 
Fiorino Bragaglia-Pacillo
Dott. Luigina Briccialdi 
Rita Ossola
Sig. Mariano Ferraris 
Sig.ra Romina Endrizzi 
Sonia Giovine 
Dott. Franco Versace
Gaetano Stein
Ciro Interminelli
Sig.ra Rosina Caffarelli
Bettina Pacelli-Schiavo
Dott. Raimondo Cafarchia
Raffaellino Tomasetti
Mattia Visconti
Marina Tedesco
Lazzaro Platini
Dott. Angelica Barcella
Coriolano Giunti
Sig.ra Natalia Chiesa 
Carolina Sabatini
Sig. Lamberto Soffici
Michela Oscuro-Piovani
Puccio Cabibbo-Riccardi
Bianca Cremonesi
Lorenzo Michelangeli 
Milena Argenti 
Sig. Pellegrino Borromeo
Sylvia Zamorani
Dante Tafuri 
Tonia Fioravanti
Federica Antonetti
Dott. Anita Paltrinieri
Sig. Pasqual Sabatini 
Giulietta Metella
Dott. Gianni Ponti 
Luca Botticelli
Alberto Togliatti
Dott. Marcello Pepe 
Marisa Bersani 
Serena Mazzacurati
Rosa Carullo
Giorgia Frescobaldi
Dott. Erika Falloppio 
Antonello Gualtieri-Gori
Sig.ra Marta Solari 
Antonina Alfieri
Dott. Stefani Norbiato
Sig. Sabatino Mercadante 
Bianca Malipiero
Cristina Bruscantini
Federica Cattaneo
Cecilia Agostinelli
Rodolfo Frescobaldi
Cesare Dibiasi
Maria Cammarata
Marissa Celentano-Canevascini
Stefania Pertile-Sorrentino
Fortunata Mancini
Matilda Morabito
Rosalia Sonnino
Antonella Canali
Livia Gozzano
Leone Musatti
Cassandra Nitti
Giuliana Segrè 
Sig.ra Antonella Foà 
Dott. Antonietta Bresciani 
Angelo Barillaro
Gioffre Crespi
Victoria Pozzecco
Sandra Vercelloni 
Melania Gentileschi
Mirco Santorio 
Sandra Ovadia-Farina
Puccio Bignardi
Sig. Sandro Loredan
Sig.ra Amanda Romiti 
Bettina Borzomì
Mariana Schicchi
Sig. Ricciotti Parpinel 
Alessia Finzi 
Sig.ra Serena Zarlino 
Gastone Conti
Bernardo Cristoforetti-Schicchi
Donna Catenazzi
Umberto Villarosa
Sig.ra Cecilia Mengolo
Olga Surian-Botta
Livia Stefanelli 
Berenice Marangoni
Gelsomina Odescalchi
Ernesto Lattuada-Leone
Mercedes Tamburello
Rosario Mercantini
Licia Strangio
Marta Travaglio 
Natalia Gangemi
Alphons Scaramucci
Valeria Comolli
Jacopo Pacetti 
Federico Borroni 
Sebastiano Scaduto
Matteo Tosi
Melissa Squarcione-Manacorda
Sole Antonucci
Barbara Giannetti
Clelia Marangoni 
Etta Andreotti
Silvio Lucchesi
Sig. Ansaldo Peano 
Gianfrancesco Caironi 
Gilberto Faranda
Giuliano Lamborghini
Agostino Gonzaga
Filippa Rocca 
Federigo Ferrante
Sig. Giulio Valier
Ubaldo Stradivari
Alessia Fioravanti
Teresa Borsiere
Marina Dibiasi
Greca Scarpetta 
Sig. Telemaco Nicoletti 
Sig. Liberto Cicilia 
Imelda Tron
Dott. Leonardo Petrocelli 
Alessandra Costalonga
Gianpietro Tartini 
Sonia Armani 
Ludovico Cipolla
Sig. Raimondo Casini 
Michela Casarin
Sig. Vincenzo Scarpetta
Dott. Angelina Conti
Durante Medici 
Dionigi Antonioni 
Renata Schicchi
Victoria Majewski 
Livia Paolini
Romana Ferragni
Lolita Veneziano
Tina Lamborghini
Galasso Burcardo
Dott. Luchino Berengario 
Vittoria Babati-Travia
Sig. Giorgio Romiti 
Sig.ra Daria Antonelli
Dott. Concetta Munari 
Rosa Sanguineti 
Dott. Luigina Petrucelli 
Alderano Tommaseo
Ermenegildo Canetta
Ninetta Monicelli
Milo Gotti 
Dott. Ricciotti Scaramucci
Laura Caracciolo
Sig.ra Clelia Palladio
Ugo Cugia-Tommaseo
Paloma Dossetti
Dott. Massimiliano Sismondi
Imelda Polizzi
Giampiero Argentero
Raimondo Sforza
Dott. Fabrizia Tomasetti 
Antonia Spinola
Dott. Maura Meucci 
Emma Gulotta-Bernetti
Pasqual Mastroianni
Sig.ra Victoria Doria 
Antonella Lattuada
Antonia Donini 
Sig. Lando Cheda
Sig. Ermanno Salgari
Lucia Marazzi
Telemaco Pezzali
Sig. Laureano Legnante
Laureano Naccari
Eva Pisano 
Luisa Littizzetto
Sig.ra Stefani Interminei 
Sig.ra Francesca Canali
Gianfrancesco Cerutti 
Azeglio Tiepolo
Dott. Bianca Maggioli 
Bruno Platini-Carocci
Ciro Gregorio
Dott. Priscilla Scotti 
Sig.ra Germana Bonatti
Eva Casaleggio 
Aldo Giacometti
Amico Cabibbo
Silvia Buonauro-Molesini
Sig.ra Nedda Cafarchia
Ornella Durante-Petrocelli
Sylvia Merisi
Bernardo Stradivari
Carla Leblanc-Broschi
Ubaldo Lucciano
Daria Farina
Calogero Bernardini
Sig. Fausto Morandi
Serafina Niscoromni
Valentina Murri
Sandro Pirelli
Rita Gozzano
Lucrezia Legnante
Benedetto Verri
Sig. Piersanti Tencalla 
Leopoldo Soprano 
Lidia Ricolfi-Gualandi
Benedetto Federico
Anita Chigi
Sig.ra Luisa Babato 
Ignazio Frescobaldi-Pulci
Dott. Giacomo Sgarbi 
Carlo Sorrentino
Dott. Germana Marconi 
Sig. Alfio Iannucci 
Adelmo Trapanese
Marcella Sermonti
Ilaria Armellini 
Alessandro Segni
Barbara Majewski
Sole Gentili
Irma Vendetti-Nadi
Sig.ra Lidia Endrizzi
Lisa Cagnin
Gloria Bianchi
Giuliano Scaramucci-Carducci
Raimondo Coppola
Virginia Parisi 
Sig.ra Fortunata Esposito 
Giulia Gadda 
Roman Aloisio 
Ansaldo Biagiotti
Pellegrino Foscari
Dott. Isa Onisto
Ennio Gentileschi
Benvenuto Antonelli
Dott. Gianna Passalacqua 
Sig. Ivan Montalcini
Roberta Strangio
Cesare Sonnino 
Gianfranco Basso-Adinolfi
Maria Sauli
Jolanda Sauro
Laura Pulci
Giada Armani
Cecilia Gigli
Temistocle Malatesta
Luigi Camuccini
Marina Stein
Stefano Blasi-Gentileschi
Lisa Leonardi
Alphons Bonino
Imelda Paruta
Simone Taliani 
Lazzaro Scialpi
Sig. Ubaldo Ludovisi 
Ansaldo Anguissola 
Sig. Ignazio Balla 
Dott. Tullio Viviani
Lilla Sismondi
Renzo Toldo
Ugo Semitecolo
Lazzaro Andreotti
Dott. Ivan Manolesso 
Ignazio Pareto
Lando Muti
Elena Donini
Ciro Brugnaro 
Guglielmo Gradenigo 
Simone Pacetti
Dante Marino
Dott. Sonia Bataglia 
Adamo Nordio
Pierina Tron 
Gastone Virgilio
Mirko Battisti 
Pierluigi Ostinelli
Mario Saracino 
Marco Bianchi
Telemaco Persico
Sig.ra Marta Saragat
Silvia Bergoglio
Loredana Vismara
Piermaria Luzi
Donato Rensi
Ludovica Ziani 
Delfino Dellucci 
Sig. Marcello Zichichi
Filippa Carnera
Dott. Gionata Antonioni
Eleanora Santi
Sandra Carli 
Ornella Schiaparelli
Fortunata Luciani
Martina Ferrazzi
Sig.ra Alessia Pertini
Dott. Alessandra Volta 
Sig.ra Etta Tremonti 
Dott. Bartolomeo Sollima
Orazio Pellegrini
Antonina Lombroso
Girolamo Fioravanti
Daniele Civaschi
Graziella Gentili-Sagredo
Benvenuto Cuda
Victoria Busoni
Diana Palmisano
Stefania Canevascini
Gioacchino Parisi
Sig.ra Flavia Grisoni
Imelda Pennetta
Uberto Murri 
Raffaellino Zoppetti
Francesca Catenazzi
Ottone Aloisio
Angelica Dallapé
Diana Lucarelli
Monica Pagliaro-Corradi
Sig. Fabrizio Tornatore
Sig. Flavio Boitani
Adriano Germano
Dott. Veronica Canali 
Carlo Malpighi
Carla Goldoni
Dott. Annalisa Faggiani 
Nino Castelli
Dott. Giulietta Totino
Sig. Agnolo Saragat 
Nicoletta Cutuli
Imelda Rapisardi-Pacomio
Melissa Pace
Marisa Tarantino
Durante Gaiatto 
Cipriano Travaglia
Lucia Vento-Interminelli
Dott. Jacopo Filogamo 
Benedetto Favata
Sig.ra Lara Albertini 
Dott. Maurizio Capone 
Sig. Arsenio Pincherle
Giorgia Gigli 
Sig. Augusto Tognazzi
Corrado Impastato-Morpurgo
Gian Detti-Montesano
Raffaello Vivaldi
Alderano Moccia
Renata Tozzi
Gastone Lamborghini 
Alessandro Piovani
Stefano Vendetti-Morucci
Ottavio Ortese 
Michelangelo Folliero-Vendetti
Adriana Togliatti 
Clelia Civaschi-Saffi
Dott. Michelangelo Agostinelli
Cecilia Valguarnera
Veronica Pavarotti-Spinola
Raimondo Porcellato
Ciro Cavanna
Anita Chechi
Paoletta Comeriato
Antonina Maggioli-Vecoli
Sig.ra Margherita Trillini 
Ermanno Tozzo
Galasso Migliaccio
Michela Lancisi-Morricone
Raffaella Sraffa 
Ettore Nosiglia 
Giovanna Rossetti
Sig. Ansaldo Ottino 
Bartolomeo Ferragamo 
Luciana Zamorani-Finzi
Gloria Littizzetto-Bresciani
Pellegrino Russo
Roman Antonucci
Sig. Ruggiero Canetta
Sig.ra Virginia Zampa 
Micheletto Bignami
Dott. Giovanna Lombardi 
Dott. Graziella Ravaglioli 
Sole Bignardi-Faranda
Cirillo Cantimori
Biagio Camilleri
Dott. Adriana Fittipaldi
Angelina Tebaldi 
Arnaldo Pedroni
Luisa Salandra-Sabatini
Eraldo Bossi 
Maria Tolentino
Sandra Faugno
Marisa Vendetti
Alessandra Grossi-Schiaparelli
Azeglio Costalonga
Ilaria Fibonacci 
Gianfrancesco Satriani-Gozzi
Clelia Boiardo-Luna
Gustavo Castiglione 
Antonio Guicciardini
Ilaria Ortese
Ludovica Mussolini
Germana Forza
Sole Montalcini
Nico Pagliaro
Beatrice Gianinazzi
Priscilla Gualandi 
Dott. Santino Borromini 
Ruggiero Abate
Susanna Modiano 
Giorgia Bignami 
Ronaldo Lerner
Flavio Botticelli
Eleanora Carocci 
Giada Nievo
Panfilo Antonacci
Fiorenzo Segrè
Camilla Zamorani
Cristina Argentero-Malacarne
Paola Campano
Sig. Giuliano Leonetti 
Orazio Germano-Durante
Fabrizia Ubaldi
Temistocle Badoglio 
Federigo Bergoglio
Sig.ra Raffaella Casaleggio
Griselda Persico-Pietrangeli
Marcella Bertoni-Trentin
Dott. Pietro Antonini
Napoleone Pizzetti
Sig. Cirillo Tencalla
Claudia Tartini-Gussoni
Isa Garozzo
Baldassare Peano-Jovinelli
Rita Sbarbaro
Simone Littizzetto
Pompeo Bianchini
Greco Antelami
Coriolano Draghi
Dina Capuana
Giovanni Sordi 
Gianluca Cassarà
Sig. Ludovico Pizziol
Ansaldo Ceri-Perini
Michela Antonello
Sig. Lorenzo Ferrata 
Sig.ra Eleanora Abbagnale
Ottone Bongiorno
Melissa Dossi-Scarfoglio
Alderano Sermonti 
Sig.ra Luciana Tarantino 
Pomponio Mascheroni
Romina Argento-Tagliafierro
Paolo Bellocchio
Vittoria Durante
Ninetta Marazzi
Dionigi Volta 
Annibale Trincavelli-Cerutti
Tiziana Stein
Micheletto Ferraris
Liana Sraffa
Angelo Ciampi
Donna Guariento 
Filippa Borsiere 
Luchino Trapani
Dott. Costanzo Foa
Mariana Moneta-Ceschi
Annibale Colletti
Isabella Antonini 
Ricciotti Pisano-Verri
Dott. Ricciotti Bosurgi
Sig.ra Morena Pizziol 
Giorgia Parisi
Giulia Cipolla
Dott. Nico Vanvitelli
Michele Fagotto-Pedersoli
Geronimo Gentileschi 
Francesca Bignami
Alessia Angeli
Giacinto Marino
Rosina Adinolfi
Dott. Francesca Saragat
Dott. Daria Angeli
Fulvio Letta
Fedele Fieramosca-Verdi
Fernanda Sagredo-Tomaselli
Dott. Achille Cundari
Dott. Alfredo Poerio 
Dott. Alessandra Borghese 
Carla Lanfranchi-Scamarcio
Oreste Chechi
Liliana Gremese
Alessia Zetticci
Fabrizio Monduzzi
Sig. Daniele Chiaramonte 
Nina Tamburi
Dott. Bartolomeo Nonis
Sig. Alberico Asprucci
Roberta Juvara-Virgilio
Gemma Ferrazzi-Palumbo
Sig.ra Eleanora Tencalla 
Donna Savorgnan-Iannucci
Dott. Maria Turrini 
Rossana Bocelli
Griselda Desio
Sig. Severino Mattarella
Antonino Piacentini
Luciana Roccabonella-Carducci
Augusto Pacillo
Amanda Zaccagnini-Priuli
Sig.ra Laura Trezzini
Sig. Gianfrancesco Cuomo 
Ivo Moneta-Pisano
Alfio Tafuri
Aria Guarneri
Dott. Chiara Argenti 
Ludovica Giannelli 
Sig. Nicola Verdone
Gaetano Combi-Goldstein
Ermes Moneta
Elladio Scaduto-Marsili
Alessandro Esposito
Silvia Corcos
Giacobbe Calvo
Goffredo Cugia
Dott. Mario Novaro 
Stella Monaco
Dott. Evangelista Gulotta 
Gianluca Chiappetta 
Ronaldo Taliani
Stefania Bernardi
Fabio Magnani
Osvaldo Mezzetta
Margherita Pininfarina 
Sig.ra Claudia Camicione
Sig.ra Jolanda Santoro
Baccio Pincherle
Antonia Vento-Soffici
Barbara Gaggini-Foscari
Sig. Fabrizio Cendron 
Barbara Marinetti-Romano
Romolo Martucci
Antonino Combi
Vincenzo Napolitano
Aria Dalla
Dionigi Ariasso
Sig. Costantino Trentini
Sig. Gianpietro Ovadia
Panfilo Dalla
Annetta Frescobaldi
Giuseppina Druso
Antonella Ioppi-Petrucci
